region,drivmedel,årmånad,antal
05 Östergötlands län,bensin,202008,446
05 Östergötlands län,bensin,202009,458
05 Östergötlands län,bensin,202010,394
05 Östergötlands län,bensin,202011,347
05 Östergötlands län,bensin,202012,363
05 Östergötlands län,bensin,202101,312
05 Östergötlands län,bensin,202102,305
05 Östergötlands län,bensin,202103,668
05 Östergötlands län,bensin,202104,305
05 Östergötlands län,bensin,202105,300
05 Östergötlands län,bensin,202106,399
05 Östergötlands län,bensin,202107,286
05 Östergötlands län,bensin,202108,238
05 Östergötlands län,bensin,202109,277
05 Östergötlands län,bensin,202110,249
05 Östergötlands län,bensin,202111,200
05 Östergötlands län,bensin,202112,215
05 Östergötlands län,bensin,202201,223
05 Östergötlands län,bensin,202202,196
05 Östergötlands län,diesel,202003,247
05 Östergötlands län,diesel,202004,192
05 Östergötlands län,diesel,202005,155
05 Östergötlands län,diesel,202006,247
05 Östergötlands län,diesel,202007,186
05 Östergötlands län,diesel,202008,188
05 Östergötlands län,diesel,202009,177
05 Östergötlands län,diesel,202010,171
05 Östergötlands län,diesel,202011,128
05 Östergötlands län,diesel,202012,233
05 Östergötlands län,diesel,202101,156
05 Östergötlands län,diesel,202102,143
05 Östergötlands län,diesel,202103,364
05 Östergötlands län,diesel,202104,127
05 Östergötlands län,diesel,202105,124
05 Östergötlands län,diesel,202106,190
05 Östergötlands län,diesel,202107,126
05 Östergötlands län,diesel,202108,110
05 Östergötlands län,diesel,202109,86
05 Östergötlands län,diesel,202110,113
05 Östergötlands län,diesel,202111,112
05 Östergötlands län,diesel,202112,98
05 Östergötlands län,diesel,202201,90
05 Östergötlands län,diesel,202202,95
06 Jönköpings län,bensin,202003,450
06 Jönköpings län,bensin,202004,360
06 Jönköpings län,bensin,202005,330
06 Jönköpings län,bensin,202006,474
06 Jönköpings län,bensin,202007,411
06 Jönköpings län,bensin,202008,420
06 Jönköpings län,bensin,202009,387
06 Jönköpings län,bensin,202010,437
06 Jönköpings län,bensin,202011,451
06 Jönköpings län,bensin,202012,393
06 Jönköpings län,bensin,202101,359
06 Jönköpings län,bensin,202102,331
06 Jönköpings län,bensin,202103,673
06 Jönköpings län,bensin,202104,300
06 Jönköpings län,bensin,202105,361
06 Jönköpings län,bensin,202106,388
06 Jönköpings län,bensin,202107,262
06 Jönköpings län,bensin,202108,281
06 Jönköpings län,bensin,202109,238
06 Jönköpings län,bensin,202110,264
06 Jönköpings län,bensin,202111,252
06 Jönköpings län,bensin,202112,255
06 Jönköpings län,bensin,202201,200
06 Jönköpings län,bensin,202202,155
06 Jönköpings län,diesel,202003,257
06 Jönköpings län,diesel,202004,196
06 Jönköpings län,diesel,202005,155
06 Jönköpings län,diesel,202006,260
06 Jönköpings län,diesel,202007,174
06 Jönköpings län,diesel,202008,251
06 Jönköpings län,diesel,202009,173
06 Jönköpings län,diesel,202010,165
06 Jönköpings län,diesel,202011,163
06 Jönköpings län,diesel,202012,228
06 Jönköpings län,diesel,202101,205
06 Jönköpings län,diesel,202102,185
06 Jönköpings län,diesel,202103,395
06 Jönköpings län,diesel,202104,121
06 Jönköpings län,diesel,202105,169
06 Jönköpings län,diesel,202106,254
06 Jönköpings län,diesel,202107,157
06 Jönköpings län,diesel,202108,102
06 Jönköpings län,diesel,202109,96
06 Jönköpings län,diesel,202110,135
06 Jönköpings län,diesel,202111,111
06 Jönköpings län,diesel,202112,112
06 Jönköpings län,diesel,202201,81
06 Jönköpings län,diesel,202202,98
07 Kronobergs län,bensin,202003,197
07 Kronobergs län,bensin,202004,157
07 Kronobergs län,bensin,202005,141
07 Kronobergs län,bensin,202006,165
07 Kronobergs län,bensin,202007,178
07 Kronobergs län,bensin,202008,171
07 Kronobergs län,bensin,202009,224
07 Kronobergs län,bensin,202010,199
07 Kronobergs län,bensin,202011,179
07 Kronobergs län,bensin,202012,192
07 Kronobergs län,bensin,202101,136
07 Kronobergs län,bensin,202102,158
07 Kronobergs län,bensin,202103,279
07 Kronobergs län,bensin,202104,161
07 Kronobergs län,bensin,202105,140
07 Kronobergs län,bensin,202106,152
07 Kronobergs län,bensin,202107,134
07 Kronobergs län,bensin,202108,116
07 Kronobergs län,bensin,202109,130
07 Kronobergs län,bensin,202110,110
07 Kronobergs län,bensin,202111,107
07 Kronobergs län,bensin,202112,142
07 Kronobergs län,bensin,202201,89
07 Kronobergs län,bensin,202202,89
07 Kronobergs län,diesel,202003,88
07 Kronobergs län,diesel,202004,80
07 Kronobergs län,diesel,202005,49
07 Kronobergs län,diesel,202006,89
07 Kronobergs län,diesel,202007,90
07 Kronobergs län,diesel,202008,64
07 Kronobergs län,diesel,202009,89
07 Kronobergs län,diesel,202010,86
07 Kronobergs län,diesel,202011,85
07 Kronobergs län,diesel,202012,97
07 Kronobergs län,diesel,202101,64
07 Kronobergs län,diesel,202102,60
07 Kronobergs län,diesel,202103,140
07 Kronobergs län,diesel,202104,49
07 Kronobergs län,diesel,202105,55
07 Kronobergs län,diesel,202106,109
07 Kronobergs län,diesel,202107,40
07 Kronobergs län,diesel,202108,30
07 Kronobergs län,diesel,202109,45
07 Kronobergs län,diesel,202110,40
07 Kronobergs län,diesel,202111,42
07 Kronobergs län,diesel,202112,58
07 Kronobergs län,diesel,202201,42
07 Kronobergs län,diesel,202202,52
08 Kalmar län,bensin,202003,281
08 Kalmar län,bensin,202004,206
08 Kalmar län,bensin,202005,129
08 Kalmar län,bensin,202006,254
08 Kalmar län,bensin,202007,179
08 Kalmar län,bensin,202008,199
08 Kalmar län,bensin,202009,241
08 Kalmar län,bensin,202010,198
08 Kalmar län,bensin,202011,197
08 Kalmar län,bensin,202012,220
08 Kalmar län,bensin,202101,159
08 Kalmar län,bensin,202102,177
08 Kalmar län,bensin,202103,414
08 Kalmar län,bensin,202104,143
08 Kalmar län,bensin,202105,187
08 Kalmar län,bensin,202106,242
08 Kalmar län,bensin,202107,147
08 Kalmar län,bensin,202108,146
08 Kalmar län,bensin,202109,144
08 Kalmar län,bensin,202110,117
08 Kalmar län,bensin,202111,148
08 Kalmar län,bensin,202112,119
08 Kalmar län,bensin,202201,109
08 Kalmar län,bensin,202202,152
08 Kalmar län,diesel,202003,142
08 Kalmar län,diesel,202004,131
08 Kalmar län,diesel,202005,55
08 Kalmar län,diesel,202006,162
08 Kalmar län,diesel,202007,109
08 Kalmar län,diesel,202008,151
08 Kalmar län,diesel,202009,118
08 Kalmar län,diesel,202010,92
08 Kalmar län,diesel,202011,98
08 Kalmar län,diesel,202012,191
08 Kalmar län,diesel,202101,84
08 Kalmar län,diesel,202102,99
08 Kalmar län,diesel,202103,234
08 Kalmar län,diesel,202104,52
08 Kalmar län,diesel,202105,97
08 Kalmar län,diesel,202106,112
08 Kalmar län,diesel,202107,60
08 Kalmar län,diesel,202108,70
08 Kalmar län,diesel,202109,55
08 Kalmar län,diesel,202110,64
08 Kalmar län,diesel,202111,60
08 Kalmar län,diesel,202112,89
08 Kalmar län,diesel,202201,64
08 Kalmar län,diesel,202202,78
09 Gotlands län,bensin,202003,34
09 Gotlands län,bensin,202004,27
09 Gotlands län,bensin,202005,21
09 Gotlands län,bensin,202006,43
09 Gotlands län,bensin,202007,40
09 Gotlands län,bensin,202008,47
09 Gotlands län,bensin,202009,56
09 Gotlands län,bensin,202010,53
09 Gotlands län,bensin,202011,34
09 Gotlands län,bensin,202012,38
09 Gotlands län,bensin,202101,26
09 Gotlands län,bensin,202102,29
09 Gotlands län,bensin,202103,43
09 Gotlands län,bensin,202104,32
09 Gotlands län,bensin,202105,39
09 Gotlands län,bensin,202106,51
09 Gotlands län,bensin,202107,41
09 Gotlands län,bensin,202108,29
09 Gotlands län,bensin,202109,32
09 Gotlands län,bensin,202110,17
09 Gotlands län,bensin,202111,16
09 Gotlands län,bensin,202112,26
09 Gotlands län,bensin,202201,19
09 Gotlands län,bensin,202202,24
09 Gotlands län,diesel,202003,15
09 Gotlands län,diesel,202004,18
09 Gotlands län,diesel,202005,6
09 Gotlands län,diesel,202006,12
09 Gotlands län,diesel,202007,11
09 Gotlands län,diesel,202008,5
09 Gotlands län,diesel,202009,14
09 Gotlands län,diesel,202010,10
09 Gotlands län,diesel,202011,9
09 Gotlands län,diesel,202012,12
09 Gotlands län,diesel,202101,8
09 Gotlands län,diesel,202102,24
09 Gotlands län,diesel,202103,18
09 Gotlands län,diesel,202104,19
09 Gotlands län,diesel,202105,14
09 Gotlands län,diesel,202106,16
09 Gotlands län,diesel,202107,11
09 Gotlands län,diesel,202108,12
09 Gotlands län,diesel,202109,10
09 Gotlands län,diesel,202110,10
09 Gotlands län,diesel,202111,8
09 Gotlands län,diesel,202112,7
09 Gotlands län,diesel,202201,5
09 Gotlands län,diesel,202202,5
10 Blekinge län,bensin,202003,168
10 Blekinge län,bensin,202004,119
10 Blekinge län,bensin,202005,84
10 Blekinge län,bensin,202006,145
10 Blekinge län,bensin,202007,122
10 Blekinge län,bensin,202008,148
10 Blekinge län,bensin,202009,127
10 Blekinge län,bensin,202010,164
10 Blekinge län,bensin,202011,116
10 Blekinge län,bensin,202012,159
10 Blekinge län,bensin,202101,121
10 Blekinge län,bensin,202102,132
10 Blekinge län,bensin,202103,238
10 Blekinge län,bensin,202104,116
10 Blekinge län,bensin,202105,130
10 Blekinge län,bensin,202106,138
10 Blekinge län,bensin,202107,99
10 Blekinge län,bensin,202108,101
10 Blekinge län,bensin,202109,109
10 Blekinge län,bensin,202110,88
10 Blekinge län,bensin,202111,66
10 Blekinge län,bensin,202112,86
10 Blekinge län,bensin,202201,91
10 Blekinge län,bensin,202202,82
10 Blekinge län,diesel,202003,74
10 Blekinge län,diesel,202004,40
10 Blekinge län,diesel,202005,25
10 Blekinge län,diesel,202006,47
10 Blekinge län,diesel,202007,44
10 Blekinge län,diesel,202008,58
10 Blekinge län,diesel,202009,63
10 Blekinge län,diesel,202010,48
10 Blekinge län,diesel,202011,47
10 Blekinge län,diesel,202012,88
10 Blekinge län,diesel,202101,39
10 Blekinge län,diesel,202102,57
10 Blekinge län,diesel,202103,104
10 Blekinge län,diesel,202104,31
10 Blekinge län,diesel,202105,42
10 Blekinge län,diesel,202106,48
10 Blekinge län,diesel,202107,45
10 Blekinge län,diesel,202108,25
10 Blekinge län,diesel,202109,39
10 Blekinge län,diesel,202110,29
10 Blekinge län,diesel,202111,32
10 Blekinge län,diesel,202112,40
10 Blekinge län,diesel,202201,18
10 Blekinge län,diesel,202202,35
12 Skåne län,bensin,202003,1881
12 Skåne län,bensin,202004,1592
12 Skåne län,bensin,202005,1404
12 Skåne län,bensin,202006,1804
12 Skåne län,bensin,202007,1673
12 Skåne län,bensin,202008,1600
12 Skåne län,bensin,202009,1654
12 Skåne län,bensin,202010,1536
12 Skåne län,bensin,202011,1514
12 Skåne län,bensin,202012,1329
12 Skåne län,bensin,202101,1514
12 Skåne län,bensin,202102,1524
12 Skåne län,bensin,202103,2719
12 Skåne län,bensin,202104,1488
12 Skåne län,bensin,202105,1483
12 Skåne län,bensin,202106,1569
12 Skåne län,bensin,202107,1187
12 Skåne län,bensin,202108,1022
12 Skåne län,bensin,202109,952
12 Skåne län,bensin,202110,1078
