region,drivmedel,årmånad,antal
18 Örebro län,bensin,202009,217
18 Örebro län,bensin,202010,234
18 Örebro län,bensin,202011,173
18 Örebro län,bensin,202012,213
18 Örebro län,bensin,202101,148
18 Örebro län,bensin,202102,207
18 Örebro län,bensin,202103,431
18 Örebro län,bensin,202104,126
18 Örebro län,bensin,202105,204
18 Örebro län,bensin,202106,217
18 Örebro län,bensin,202107,164
18 Örebro län,bensin,202108,156
18 Örebro län,bensin,202109,157
18 Örebro län,bensin,202110,150
18 Örebro län,bensin,202111,129
18 Örebro län,bensin,202112,122
18 Örebro län,bensin,202201,135
18 Örebro län,bensin,202202,156
18 Örebro län,diesel,202003,120
18 Örebro län,diesel,202004,94
18 Örebro län,diesel,202005,91
18 Örebro län,diesel,202006,185
18 Örebro län,diesel,202007,123
18 Örebro län,diesel,202008,120
18 Örebro län,diesel,202009,129
18 Örebro län,diesel,202010,120
18 Örebro län,diesel,202011,97
18 Örebro län,diesel,202012,140
18 Örebro län,diesel,202101,102
18 Örebro län,diesel,202102,97
18 Örebro län,diesel,202103,247
18 Örebro län,diesel,202104,78
18 Örebro län,diesel,202105,89
18 Örebro län,diesel,202106,99
18 Örebro län,diesel,202107,98
18 Örebro län,diesel,202108,72
18 Örebro län,diesel,202109,58
18 Örebro län,diesel,202110,76
18 Örebro län,diesel,202111,87
18 Örebro län,diesel,202112,62
18 Örebro län,diesel,202201,64
18 Örebro län,diesel,202202,55
19 Västmanlands län,bensin,202003,283
19 Västmanlands län,bensin,202004,204
19 Västmanlands län,bensin,202005,161
19 Västmanlands län,bensin,202006,241
19 Västmanlands län,bensin,202007,197
19 Västmanlands län,bensin,202008,217
19 Västmanlands län,bensin,202009,244
19 Västmanlands län,bensin,202010,219
19 Västmanlands län,bensin,202011,186
19 Västmanlands län,bensin,202012,187
19 Västmanlands län,bensin,202101,156
19 Västmanlands län,bensin,202102,186
19 Västmanlands län,bensin,202103,393
19 Västmanlands län,bensin,202104,152
19 Västmanlands län,bensin,202105,197
19 Västmanlands län,bensin,202106,221
19 Västmanlands län,bensin,202107,154
19 Västmanlands län,bensin,202108,131
19 Västmanlands län,bensin,202109,141
19 Västmanlands län,bensin,202110,122
19 Västmanlands län,bensin,202111,149
19 Västmanlands län,bensin,202112,141
19 Västmanlands län,bensin,202201,149
19 Västmanlands län,bensin,202202,131
19 Västmanlands län,diesel,202003,136
19 Västmanlands län,diesel,202004,83
19 Västmanlands län,diesel,202005,79
19 Västmanlands län,diesel,202006,113
19 Västmanlands län,diesel,202007,84
19 Västmanlands län,diesel,202008,97
19 Västmanlands län,diesel,202009,88
19 Västmanlands län,diesel,202010,100
19 Västmanlands län,diesel,202011,82
19 Västmanlands län,diesel,202012,146
19 Västmanlands län,diesel,202101,79
19 Västmanlands län,diesel,202102,75
19 Västmanlands län,diesel,202103,208
19 Västmanlands län,diesel,202104,52
19 Västmanlands län,diesel,202105,79
19 Västmanlands län,diesel,202106,139
19 Västmanlands län,diesel,202107,54
19 Västmanlands län,diesel,202108,58
19 Västmanlands län,diesel,202109,63
19 Västmanlands län,diesel,202110,63
19 Västmanlands län,diesel,202111,74
19 Västmanlands län,diesel,202112,71
19 Västmanlands län,diesel,202201,54
19 Västmanlands län,diesel,202202,54
20 Dalarnas län,bensin,202003,190
20 Dalarnas län,bensin,202004,122
20 Dalarnas län,bensin,202005,123
20 Dalarnas län,bensin,202006,208
20 Dalarnas län,bensin,202007,179
20 Dalarnas län,bensin,202008,182
20 Dalarnas län,bensin,202009,210
20 Dalarnas län,bensin,202010,186
20 Dalarnas län,bensin,202011,142
20 Dalarnas län,bensin,202012,148
20 Dalarnas län,bensin,202101,126
20 Dalarnas län,bensin,202102,157
20 Dalarnas län,bensin,202103,241
20 Dalarnas län,bensin,202104,128
20 Dalarnas län,bensin,202105,153
20 Dalarnas län,bensin,202106,166
20 Dalarnas län,bensin,202107,126
20 Dalarnas län,bensin,202108,169
20 Dalarnas län,bensin,202109,127
20 Dalarnas län,bensin,202110,110
20 Dalarnas län,bensin,202111,96
20 Dalarnas län,bensin,202112,92
20 Dalarnas län,bensin,202201,101
20 Dalarnas län,bensin,202202,109
20 Dalarnas län,diesel,202003,172
20 Dalarnas län,diesel,202004,142
20 Dalarnas län,diesel,202005,97
20 Dalarnas län,diesel,202006,174
20 Dalarnas län,diesel,202007,162
20 Dalarnas län,diesel,202008,157
20 Dalarnas län,diesel,202009,158
20 Dalarnas län,diesel,202010,163
20 Dalarnas län,diesel,202011,132
20 Dalarnas län,diesel,202012,188
20 Dalarnas län,diesel,202101,109
20 Dalarnas län,diesel,202102,118
20 Dalarnas län,diesel,202103,232
20 Dalarnas län,diesel,202104,95
20 Dalarnas län,diesel,202105,96
20 Dalarnas län,diesel,202106,143
20 Dalarnas län,diesel,202107,91
20 Dalarnas län,diesel,202108,89
20 Dalarnas län,diesel,202109,61
20 Dalarnas län,diesel,202110,94
20 Dalarnas län,diesel,202111,95
20 Dalarnas län,diesel,202112,55
20 Dalarnas län,diesel,202201,57
20 Dalarnas län,diesel,202202,73
21 Gävleborgs län,bensin,202003,200
21 Gävleborgs län,bensin,202004,148
21 Gävleborgs län,bensin,202005,149
21 Gävleborgs län,bensin,202006,177
21 Gävleborgs län,bensin,202007,232
21 Gävleborgs län,bensin,202008,188
21 Gävleborgs län,bensin,202009,160
21 Gävleborgs län,bensin,202010,200
21 Gävleborgs län,bensin,202011,190
21 Gävleborgs län,bensin,202012,213
21 Gävleborgs län,bensin,202101,132
21 Gävleborgs län,bensin,202102,168
21 Gävleborgs län,bensin,202103,351
21 Gävleborgs län,bensin,202104,151
21 Gävleborgs län,bensin,202105,183
21 Gävleborgs län,bensin,202106,183
21 Gävleborgs län,bensin,202107,129
21 Gävleborgs län,bensin,202108,122
21 Gävleborgs län,bensin,202109,130
21 Gävleborgs län,bensin,202110,152
21 Gävleborgs län,bensin,202111,134
21 Gävleborgs län,bensin,202112,110
21 Gävleborgs län,bensin,202201,85
21 Gävleborgs län,bensin,202202,97
21 Gävleborgs län,diesel,202003,218
21 Gävleborgs län,diesel,202004,144
21 Gävleborgs län,diesel,202005,109
21 Gävleborgs län,diesel,202006,181
21 Gävleborgs län,diesel,202007,198
21 Gävleborgs län,diesel,202008,170
21 Gävleborgs län,diesel,202009,123
21 Gävleborgs län,diesel,202010,103
21 Gävleborgs län,diesel,202011,133
21 Gävleborgs län,diesel,202012,159
21 Gävleborgs län,diesel,202101,105
21 Gävleborgs län,diesel,202102,141
21 Gävleborgs län,diesel,202103,207
21 Gävleborgs län,diesel,202104,77
21 Gävleborgs län,diesel,202105,138
21 Gävleborgs län,diesel,202106,206
21 Gävleborgs län,diesel,202107,96
21 Gävleborgs län,diesel,202108,111
21 Gävleborgs län,diesel,202109,82
21 Gävleborgs län,diesel,202110,88
21 Gävleborgs län,diesel,202111,62
21 Gävleborgs län,diesel,202112,115
21 Gävleborgs län,diesel,202201,85
21 Gävleborgs län,diesel,202202,86
22 Västernorrlands län,bensin,202003,146
22 Västernorrlands län,bensin,202004,110
22 Västernorrlands län,bensin,202005,117
22 Västernorrlands län,bensin,202006,137
22 Västernorrlands län,bensin,202007,127
22 Västernorrlands län,bensin,202008,137
22 Västernorrlands län,bensin,202009,148
22 Västernorrlands län,bensin,202010,134
22 Västernorrlands län,bensin,202011,130
22 Västernorrlands län,bensin,202012,120
22 Västernorrlands län,bensin,202101,60
22 Västernorrlands län,bensin,202102,97
22 Västernorrlands län,bensin,202103,227
22 Västernorrlands län,bensin,202104,90
22 Västernorrlands län,bensin,202105,115
22 Västernorrlands län,bensin,202106,123
22 Västernorrlands län,bensin,202107,98
22 Västernorrlands län,bensin,202108,99
22 Västernorrlands län,bensin,202109,116
22 Västernorrlands län,bensin,202110,87
22 Västernorrlands län,bensin,202111,103
22 Västernorrlands län,bensin,202112,88
22 Västernorrlands län,bensin,202201,62
22 Västernorrlands län,bensin,202202,72
22 Västernorrlands län,diesel,202003,135
22 Västernorrlands län,diesel,202004,133
22 Västernorrlands län,diesel,202005,110
22 Västernorrlands län,diesel,202006,148
22 Västernorrlands län,diesel,202007,147
22 Västernorrlands län,diesel,202008,161
22 Västernorrlands län,diesel,202009,233
22 Västernorrlands län,diesel,202010,143
22 Västernorrlands län,diesel,202011,131
22 Västernorrlands län,diesel,202012,138
22 Västernorrlands län,diesel,202101,102
22 Västernorrlands län,diesel,202102,154
22 Västernorrlands län,diesel,202103,284
22 Västernorrlands län,diesel,202104,60
22 Västernorrlands län,diesel,202105,151
22 Västernorrlands län,diesel,202106,171
22 Västernorrlands län,diesel,202107,81
22 Västernorrlands län,diesel,202108,81
22 Västernorrlands län,diesel,202109,58
22 Västernorrlands län,diesel,202110,58
22 Västernorrlands län,diesel,202111,89
22 Västernorrlands län,diesel,202112,88
22 Västernorrlands län,diesel,202201,87
22 Västernorrlands län,diesel,202202,77
23 Jämtlands län,bensin,202003,41
23 Jämtlands län,bensin,202004,32
23 Jämtlands län,bensin,202005,37
23 Jämtlands län,bensin,202006,45
23 Jämtlands län,bensin,202007,51
23 Jämtlands län,bensin,202008,56
23 Jämtlands län,bensin,202009,50
23 Jämtlands län,bensin,202010,53
23 Jämtlands län,bensin,202011,36
23 Jämtlands län,bensin,202012,73
23 Jämtlands län,bensin,202101,37
23 Jämtlands län,bensin,202102,52
23 Jämtlands län,bensin,202103,91
23 Jämtlands län,bensin,202104,33
23 Jämtlands län,bensin,202105,34
23 Jämtlands län,bensin,202106,47
23 Jämtlands län,bensin,202107,43
23 Jämtlands län,bensin,202108,29
23 Jämtlands län,bensin,202109,26
23 Jämtlands län,bensin,202110,36
23 Jämtlands län,bensin,202111,82
23 Jämtlands län,bensin,202112,45
23 Jämtlands län,bensin,202201,28
23 Jämtlands län,bensin,202202,18
23 Jämtlands län,diesel,202003,54
23 Jämtlands län,diesel,202004,57
23 Jämtlands län,diesel,202005,45
23 Jämtlands län,diesel,202006,51
23 Jämtlands län,diesel,202007,66
23 Jämtlands län,diesel,202008,76
23 Jämtlands län,diesel,202009,95
23 Jämtlands län,diesel,202010,83
23 Jämtlands län,diesel,202011,67
23 Jämtlands län,diesel,202012,111
23 Jämtlands län,diesel,202101,58
23 Jämtlands län,diesel,202102,55
23 Jämtlands län,diesel,202103,172
23 Jämtlands län,diesel,202104,21
23 Jämtlands län,diesel,202105,54
23 Jämtlands län,diesel,202106,78
23 Jämtlands län,diesel,202107,51
23 Jämtlands län,diesel,202108,44
23 Jämtlands län,diesel,202109,21
23 Jämtlands län,diesel,202110,38
23 Jämtlands län,diesel,202111,99
23 Jämtlands län,diesel,202112,156
23 Jämtlands län,diesel,202201,28
23 Jämtlands län,diesel,202202,47
24 Västerbottens län,bensin,202003,137
24 Västerbottens län,bensin,202004,117
24 Västerbottens län,bensin,202005,105
24 Västerbottens län,bensin,202006,151
24 Västerbottens län,bensin,202007,157
24 Västerbottens län,bensin,202008,157
24 Västerbottens län,bensin,202009,204
24 Västerbottens län,bensin,202010,147
24 Västerbottens län,bensin,202011,143
24 Västerbottens län,bensin,202012,148
24 Västerbottens län,bensin,202101,91
24 Västerbottens län,bensin,202102,98
24 Västerbottens län,bensin,202103,180
24 Västerbottens län,bensin,202104,91
24 Västerbottens län,bensin,202105,106
24 Västerbottens län,bensin,202106,146
24 Västerbottens län,bensin,202107,80
24 Västerbottens län,bensin,202108,92
24 Västerbottens län,bensin,202109,105
24 Västerbottens län,bensin,202110,58
24 Västerbottens län,bensin,202111,74
24 Västerbottens län,bensin,202112,69
24 Västerbottens län,bensin,202201,72
24 Västerbottens län,bensin,202202,65
24 Västerbottens län,diesel,202003,118
24 Västerbottens län,diesel,202004,78
24 Västerbottens län,diesel,202005,78
24 Västerbottens län,diesel,202006,99
24 Västerbottens län,diesel,202007,98
24 Västerbottens län,diesel,202008,120
24 Västerbottens län,diesel,202009,101
24 Västerbottens län,diesel,202010,104
24 Västerbottens län,diesel,202011,77
24 Västerbottens län,diesel,202012,116
24 Västerbottens län,diesel,202101,77
24 Västerbottens län,diesel,202102,105
24 Västerbottens län,diesel,202103,183
24 Västerbottens län,diesel,202104,55
24 Västerbottens län,diesel,202105,93
24 Västerbottens län,diesel,202106,134
24 Västerbottens län,diesel,202107,74
24 Västerbottens län,diesel,202108,91
24 Västerbottens län,diesel,202109,52
24 Västerbottens län,diesel,202110,65
24 Västerbottens län,diesel,202111,54
24 Västerbottens län,diesel,202112,66
24 Västerbottens län,diesel,202201,57
24 Västerbottens län,diesel,202202,69
25 Norrbottens län,bensin,202003,78
25 Norrbottens län,bensin,202004,98
25 Norrbottens län,bensin,202005,76
25 Norrbottens län,bensin,202006,91
25 Norrbottens län,bensin,202007,99
25 Norrbottens län,bensin,202008,96
25 Norrbottens län,bensin,202009,95
25 Norrbottens län,bensin,202010,94
25 Norrbottens län,bensin,202011,99
25 Norrbottens län,bensin,202012,106
25 Norrbottens län,bensin,202101,58
25 Norrbottens län,bensin,202102,86
25 Norrbottens län,bensin,202103,164
25 Norrbottens län,bensin,202104,45
25 Norrbottens län,bensin,202105,57
25 Norrbottens län,bensin,202106,71
25 Norrbottens län,bensin,202107,51
25 Norrbottens län,bensin,202108,38
25 Norrbottens län,bensin,202109,70
25 Norrbottens län,bensin,202110,59
25 Norrbottens län,bensin,202111,52
25 Norrbottens län,bensin,202112,40
25 Norrbottens län,bensin,202201,56
25 Norrbottens län,bensin,202202,50
25 Norrbottens län,diesel,202003,84
25 Norrbottens län,diesel,202004,70
25 Norrbottens län,diesel,202005,64
25 Norrbottens län,diesel,202006,102
25 Norrbottens län,diesel,202007,94
25 Norrbottens län,diesel,202008,105
25 Norrbottens län,diesel,202009,114
25 Norrbottens län,diesel,202010,120
25 Norrbottens län,diesel,202011,94
25 Norrbottens län,diesel,202012,171
25 Norrbottens län,diesel,202101,89
25 Norrbottens län,diesel,202102,132
25 Norrbottens län,diesel,202103,205
25 Norrbottens län,diesel,202104,48
25 Norrbottens län,diesel,202105,92
25 Norrbottens län,diesel,202106,172
25 Norrbottens län,diesel,202107,92
25 Norrbottens län,diesel,202108,91
25 Norrbottens län,diesel,202109,64
25 Norrbottens län,diesel,202110,49
25 Norrbottens län,diesel,202111,74
25 Norrbottens län,diesel,202112,61
25 Norrbottens län,diesel,202201,77
25 Norrbottens län,diesel,202202,76
